Name,Atualizado em,Group,Status
User Input,2 de abril de 2026,Chat/Interação,Draft
Files,2 de abril de 2026,Chat/Interação,Draft
Agent Icon,2 de abril de 2026,Chat/Interação,Draft
Suggestions,6 de abril de 2026,Chat/Interação,Draft
Attachments,2 de abril de 2026,Chat/Interação,Draft
Structured Inputs,2 de abril de 2026,Chat/Interação,Draft
Knowledge Base Indicator,2 de abril de 2026,Chat/Interação,Draft
Text,2 de abril de 2026,Chat/Interação,Draft
Voice,2 de abril de 2026,Chat/Interação,Draft
Chat,2 de abril de 2026,Chat/Interação,Draft
Knowledge Base,2 de abril de 2026,Sistema,Draft
Skills,2 de abril de 2026,Sistema,Draft
Connectors,2 de abril de 2026,Sistema,Draft
Artifact — Chart,6 de abril de 2026,Artefatos,Draft
Artifact — Card,6 de abril de 2026,Artefatos,Draft
Artifact — Document,2 de abril de 2026,Artefatos,Draft
Artifact — Datatable,6 de abril de 2026,Artefatos,Draft
Artifact — List,6 de abril de 2026,Artefatos,Draft
Settings,2 de abril de 2026,Navegação,Draft
Account Switch,2 de abril de 2026,Navegação,Draft
New Task,2 de abril de 2026,Navegação,Draft
Market,2 de abril de 2026,Navegação,Draft
Navbar,2 de abril de 2026,Navegação,Draft
Recents,2 de abril de 2026,Navegação,Draft
Artifact — KPI,2 de abril de 2026,Artefatos,Draft
Artifact — Graph,7 de abril de 2026,Artefatos,Draft
Artifact — Input Request,7 de abril de 2026,Artefatos,Draft
Artifact — Link,7 de abril de 2026,Artefatos,Draft
